epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8504,1.08109,4.07737,0.9003,0.009,0.28254,0.09374,0.05916,0.99696,3.79254,0.83207,0.0002695,0.0002695,0.0002695
2,48.232,1.01246,2.7636,0.8806,0.00516,0.75096,0.17809,0.13214,1.00899,3.12337,0.85195,0.000536333,0.000536333,0.000536333
3,71.3776,0.91997,2.2968,0.88568,0.92573,0.10211,0.19613,0.13242,1.04311,2.34631,0.87803,0.00079217,0.00079217,0.00079217
4,94.8983,0.93466,2.15486,0.88911,0.57342,0.40476,0.22527,0.1636,0.94913,1.53799,0.87092,0.00078352,0.00078352,0.00078352
5,118.286,0.85928,2.04308,0.87658,0.57966,0.42248,0.22166,0.16476,0.92629,1.39916,0.86673,0.000767026,0.000767026,0.000767026
6,141.67,0.83699,1.90304,0.86539,0.57969,0.42755,0.23636,0.17535,0.9581,1.42665,0.87443,0.000750533,0.000750533,0.000750533
7,165.322,0.82796,1.84272,0.85919,0.60026,0.37469,0.25483,0.19322,0.93151,1.24827,0.87579,0.00073404,0.00073404,0.00073404
8,188.617,0.79081,1.79114,0.8493,0.60367,0.39933,0.26937,0.20824,0.86084,1.24677,0.86917,0.000717546,0.000717546,0.000717546
9,212.573,0.77446,1.67832,0.85178,0.44211,0.38908,0.28257,0.20908,0.91622,1.22231,0.87392,0.000701053,0.000701053,0.000701053
10,235.88,0.72349,1.54902,0.84318,0.39618,0.3152,0.31919,0.245,0.84977,1.16235,0.8654,0.000684559,0.000684559,0.000684559
11,259.266,0.74902,1.54006,0.84569,0.26099,0.38637,0.32621,0.24508,0.87335,1.15307,0.86258,0.000668066,0.000668066,0.000668066
12,282.802,0.76359,1.52406,0.84752,0.25524,0.37995,0.31985,0.24172,0.92821,1.3772,0.87209,0.000651573,0.000651573,0.000651573
13,306.09,0.77619,1.46638,0.84334,0.29369,0.36969,0.33804,0.24792,0.94211,1.20961,0.8707,0.000635079,0.000635079,0.000635079
14,329.442,0.71328,1.36181,0.84051,0.26577,0.44603,0.34079,0.25999,0.90572,1.1775,0.85374,0.000618586,0.000618586,0.000618586
15,353.216,0.72301,1.2989,0.84252,0.27132,0.37536,0.33416,0.26853,0.78111,1.13147,0.84319,0.000602092,0.000602092,0.000602092
16,376.859,0.70721,1.26091,0.82773,0.49989,0.40895,0.34212,0.27152,0.77366,1.14054,0.84205,0.000585599,0.000585599,0.000585599
17,400.73,0.67401,1.20349,0.82883,0.5446,0.36992,0.35635,0.27189,0.82479,1.09674,0.84787,0.000569106,0.000569106,0.000569106
18,424.381,0.73621,1.22132,0.83906,0.50112,0.38028,0.32475,0.25351,0.83755,1.15614,0.85279,0.000552612,0.000552612,0.000552612
19,447.877,0.68625,1.17462,0.83715,0.47557,0.46449,0.37082,0.29003,0.8037,1.09599,0.85139,0.000536119,0.000536119,0.000536119
20,471.554,0.68346,1.14902,0.82557,0.51126,0.38276,0.364,0.28128,0.80521,1.07339,0.84643,0.000519625,0.000519625,0.000519625
21,494.94,0.69262,1.1288,0.83511,0.55463,0.36749,0.37464,0.29889,0.78026,1.08523,0.84357,0.000503132,0.000503132,0.000503132
22,518.733,0.64013,1.09233,0.82799,0.52923,0.4032,0.36752,0.2827,0.85801,1.05264,0.84989,0.000486639,0.000486639,0.000486639
23,542.177,0.65316,1.02396,0.82995,0.52647,0.42989,0.38114,0.29864,0.80273,1.0776,0.85369,0.000470145,0.000470145,0.000470145
24,565.614,0.65838,1.04146,0.82366,0.53027,0.42304,0.38528,0.3099,0.75503,1.06288,0.84782,0.000453652,0.000453652,0.000453652
25,590.219,0.66543,0.9997,0.82196,0.48243,0.44074,0.36974,0.29608,0.74945,1.11646,0.83559,0.000437158,0.000437158,0.000437158
26,613.562,0.62245,0.95559,0.81757,0.52639,0.43033,0.37449,0.29435,0.80063,1.05685,0.83911,0.000420665,0.000420665,0.000420665
27,637.546,0.62901,0.90578,0.82954,0.49372,0.41358,0.36071,0.29187,0.69606,1.03344,0.83452,0.000404172,0.000404172,0.000404172
28,661.207,0.63591,0.93095,0.82777,0.5582,0.40715,0.39685,0.31405,0.81107,1.01994,0.84078,0.000387678,0.000387678,0.000387678
29,684.653,0.6061,0.91123,0.81756,0.52953,0.42479,0.38935,0.31025,0.78022,0.98793,0.84464,0.000371185,0.000371185,0.000371185
30,708.574,0.61606,0.88574,0.82099,0.50034,0.41322,0.36221,0.28158,0.8182,1.09373,0.84389,0.000354691,0.000354691,0.000354691
31,731.897,0.63601,0.87856,0.81659,0.55037,0.41087,0.40193,0.31794,0.76372,1.01133,0.83937,0.000338198,0.000338198,0.000338198
32,756.164,0.58525,0.84387,0.81088,0.60659,0.35073,0.39133,0.30619,0.82088,1.06462,0.84221,0.000321705,0.000321705,0.000321705
33,779.717,0.58375,0.81596,0.82059,0.54574,0.38009,0.37794,0.29449,0.77418,1.19653,0.84632,0.000305211,0.000305211,0.000305211
34,803.494,0.56377,0.85844,0.80582,0.54153,0.42719,0.38604,0.31403,0.69653,1.05633,0.83527,0.000288718,0.000288718,0.000288718
35,827.387,0.58736,0.81926,0.8129,0.55201,0.43452,0.39913,0.32676,0.73255,1.06963,0.83289,0.000272224,0.000272224,0.000272224
36,850.759,0.58928,0.79684,0.81839,0.55095,0.43601,0.39637,0.32192,0.72458,1.06318,0.83827,0.000255731,0.000255731,0.000255731
37,874.225,0.56859,0.79291,0.80713,0.55765,0.42331,0.40452,0.32193,0.77016,1.01439,0.84381,0.000239238,0.000239238,0.000239238
38,898.261,0.58067,0.79149,0.81278,0.60751,0.38227,0.40143,0.31563,0.7721,1.09483,0.83781,0.000222744,0.000222744,0.000222744
39,922.074,0.56506,0.78649,0.81511,0.57797,0.42291,0.41214,0.33392,0.74227,0.93993,0.83435,0.000206251,0.000206251,0.000206251
40,945.77,0.55295,0.75247,0.81408,0.57942,0.40317,0.40787,0.33372,0.71309,0.9583,0.83255,0.000189757,0.000189757,0.000189757
41,968.673,0.54353,0.80753,0.81853,0.54989,0.38422,0.3868,0.3161,0.71212,1.00165,0.83827,0.000173264,0.000173264,0.000173264
42,991.608,0.50574,0.76241,0.79628,0.56756,0.39769,0.40948,0.33105,0.74455,0.95313,0.83567,0.000156771,0.000156771,0.000156771
43,1014.82,0.51176,0.73951,0.80135,0.53619,0.47413,0.41226,0.32836,0.75824,0.97965,0.8351,0.000140277,0.000140277,0.000140277
44,1038.07,0.50595,0.71185,0.8023,0.53293,0.45436,0.41008,0.32117,0.76558,0.95892,0.84205,0.000123784,0.000123784,0.000123784
45,1061.53,0.50905,0.68879,0.79525,0.61957,0.37775,0.4218,0.34175,0.71002,0.9853,0.83308,0.00010729,0.00010729,0.00010729
46,1084.48,0.4879,0.68174,0.79862,0.57605,0.42005,0.41831,0.33631,0.73151,0.92518,0.83638,9.0797e-05,9.0797e-05,9.0797e-05
47,1107.24,0.50718,0.6946,0.80098,0.61495,0.39541,0.41804,0.34029,0.72557,1.01769,0.83689,7.43036e-05,7.43036e-05,7.43036e-05
48,1130.57,0.48,0.66573,0.80132,0.56482,0.46668,0.417,0.332,0.72409,0.92643,0.83545,5.78102e-05,5.78102e-05,5.78102e-05
49,1153.56,0.48333,0.67213,0.80878,0.56511,0.4475,0.40752,0.32762,0.72228,1.0086,0.83227,4.13168e-05,4.13168e-05,4.13168e-05
50,1176.8,0.463,0.62324,0.79575,0.57795,0.45432,0.4166,0.33818,0.71051,0.95261,0.83137,2.48234e-05,2.48234e-05,2.48234e-05
